# queue.tsv — Phase 0 task queue for run-next-task.sh
# Columns (tab-separated): taskID	mode	model	effort	briefPath
# mode: auto = script may run it | notify = run interactively, script halts | checkpoint = needs Wolf's answer first
# The runner executes the first row not yet marked 'done' in state.tsv.
# It refuses to auto-run any row whose mode != auto.
#
# NOTE: this is a template — recreate it as a real tab-separated file in the repo
# (spaces shown here for readability will NOT work; use actual tabs).
#
T0.1	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T0.1-envelope-schema.md
T0.2	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T0.2-body-schemas.md
T0.3	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T0.3-id-validators.md
T0.4	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T0.4-site-objects-store.md
T0.5	notify	claude-fable-5	high	docs/cms-architecture/cms-pipeline/T0.5-lock-library.md
T0.6	notify	claude-fable-5	xhigh	docs/cms-architecture/cms-pipeline/T0.6-patch-grammar-inverses.md
T0.7	auto	claude-sonnet-5	high	docs/cms-architecture/cms-pipeline/T0.7-validation-engine.md
T0.8	auto	claude-opus-4-8	high	docs/cms-architecture/cms-pipeline/T0.8-verb-endpoints.md
T0.9	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T0.9-mcp-exposure.md
T0.10	auto	claude-sonnet-5	low	docs/cms-architecture/cms-pipeline/T0.10-ci-tests.md
T0.11	notify	claude-sonnet-5	high	docs/cms-architecture/cms-pipeline/T0.11-exit-drill.md
#
# W9 — admin workspace overhaul (plan: docs/cms-architecture/10-admin-workspace-plan.md).
# Queue order pulls the T9.12 spike forward (depends only on T9.1) per the plan's ordering argument.
# mode legend as above, plus: checkpoint = blocked on the OQ named in the brief; human_gate = prepared by agent, completed by a human action.
T9.1	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T9.1-react-islands-admin.md
T9.2	auto	claude-fable-5	high	docs/cms-architecture/cms-pipeline/T9.2-admin-ui-kit.md
T9.3	auto	claude-opus-4-8	medium	docs/cms-architecture/cms-pipeline/T9.3-admin-shell-home.md
T9.12	notify	claude-fable-5	high	docs/cms-architecture/cms-pipeline/T9.12-agent-runtime-spike.md
T9.4	notify	claude-fable-5	high	docs/cms-architecture/cms-pipeline/T9.4-users-store-owner-role.md
T9.5	auto	claude-opus-4-8	medium	docs/cms-architecture/cms-pipeline/T9.5-admins-page-invites.md
T9.6	auto	claude-sonnet-5	low	docs/cms-architecture/cms-pipeline/T9.6-profile-page.md
T9.7	human_gate	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T9.7-rbac-credentialed-verification.md
T9.8	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T9.8-content-library.md
T9.9	auto	claude-fable-5	high	docs/cms-architecture/cms-pipeline/T9.9-object-workspace-v1.md
T9.10	auto	claude-opus-4-8	medium	docs/cms-architecture/cms-pipeline/T9.10-live-preview-pane.md
T9.11	auto	claude-sonnet-5	medium	docs/cms-architecture/cms-pipeline/T9.11-attention-inbox-audit-feed.md
T9.13	notify	claude-fable-5	xhigh	docs/cms-architecture/cms-pipeline/T9.13-chat-endpoint.md
